Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,33,0.09422850412249706,0.05,0.05,0.8163265306122449,0.05625,0.95
IDV 9,Random,D feed (stream 2) temperature,174,0.10810810810810811,0.0575,0.0575,0.9019607843137255,0.03125,0.9425
IDV 15,Stiction,Cooling water outlet valve of separator,51,0.13872832369942198,0.075,0.075,0.9230769230769231,0.03125,0.925
IDV 4,Step,Cooling water inlet temperature of reactor,33,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 5,Step,Cooling water inlet temperature of separator,33,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 7,Step,C header pressure loss (stream 4),33,0.9950248756218906,1.0,1.0,0.9900990099009901,0.05,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",87,0.9943855271366189,0.99625,0.99625,0.9925280199252802,0.0375,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",9,0.9874843554443055,0.98625,0.98625,0.9887218045112782,0.05625,0.01375
IDV 6,Step,A feed loss (stream 1),0,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 8,Random,A/B/C composition of stream 4,57,0.986146095717884,0.97875,0.97875,0.9936548223350253,0.03125,0.02125
IDV 10,Random,C feed (stream 4) temperature,33,0.9285237140948565,0.86875,0.86875,0.9971305595408895,0.0125,0.13125
IDV 11,Random,Cooling water inlet temperature of reactor,111,0.801781737193764,0.675,0.675,0.9872029250457038,0.04375,0.325
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9925093632958802,0.99375,0.99375,0.9912718204488778,0.04375,0.00625
IDV 13,Drift,Reaction kinetics,24,0.9718309859154929,0.94875,0.94875,0.9960629921259843,0.01875,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,0,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,9,0.9406392694063926,0.90125,0.90125,0.9836289222373806,0.075,0.09875
IDV 17,Random,(unknown); deviations of heat transfer within reactor,39,0.9497716894977168,0.91,0.91,0.9931787175989086,0.03125,0.09
IDV 18,Random,(unknown); deviations of heat transfer within condenser,60,0.9442622950819672,0.9,0.9,0.993103448275862,0.03125,0.1
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",81,0.9243134628265238,0.8625,0.8625,0.9956709956709957,0.01875,0.1375
IDV 20,Random,(unknown),9,0.8402024584237165,0.72625,0.72625,0.9965694682675815,0.0125,0.27375
IDV 21,Random,(unknown),42,0.6074201898188093,0.44,0.44,0.9805013927576601,0.04375,0.56
