Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.09893992932862192,0.0525,0.0525,0.8571428571428571,0.04375,0.9475
IDV 9,Random,D feed (stream 2) temperature,30,0.07637231503579953,0.04,0.04,0.8421052631578947,0.0375,0.96
IDV 15,Stiction,Cooling water outlet valve of separator,294,0.17954545454545454,0.09875,0.09875,0.9875,0.00625,0.90125
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9950248756218906,1.0,1.0,0.9900990099009901,0.05,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.5493716337522442,0.3825,0.3825,0.9745222929936306,0.05,0.6175
IDV 7,Step,C header pressure loss (stream 4),15,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",63,0.9962593516209476,0.99875,0.99875,0.9937810945273632,0.03125,0.00125
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",90,0.9880877742946708,0.985,0.985,0.9911949685534591,0.04375,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 8,Random,A/B/C composition of stream 4,90,0.9880277252678008,0.98,0.98,0.9961880559085133,0.01875,0.02
IDV 10,Random,C feed (stream 4) temperature,276,0.7009646302250804,0.545,0.545,0.9819819819819819,0.05,0.455
IDV 11,Random,Cooling water inlet temperature of reactor,63,0.9111864406779661,0.84,0.84,0.9955555555555555,0.01875,0.16
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9906073888541015,0.98875,0.98875,0.9924717691342535,0.0375,0.01125
IDV 13,Drift,Reaction kinetics,147,0.9711353431686979,0.94625,0.94625,0.997364953886693,0.0125,0.05375
IDV 14,Stiction,Cooling water outlet valve of reactor,153,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,180,0.6005176876617774,0.435,0.435,0.9693593314763231,0.06875,0.565
IDV 17,Random,(unknown); deviations of heat transfer within reactor,39,0.9752380952380952,0.96,0.96,0.9909677419354839,0.04375,0.04
IDV 18,Random,(unknown); deviations of heat transfer within condenser,279,0.9495743287491814,0.90625,0.90625,0.9972489683631361,0.0125,0.09375
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",207,0.47962085308056873,0.31625,0.31625,0.9921568627450981,0.0125,0.68375
IDV 20,Random,(unknown),18,0.719298245614035,0.56375,0.56375,0.9933920704845814,0.01875,0.43625
IDV 21,Random,(unknown),42,0.6155172413793103,0.44625,0.44625,0.9916666666666667,0.01875,0.55375
