Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.1056338028169014,0.05625,0.05625,0.8653846153846154,0.04375,0.94375
IDV 9,Random,D feed (stream 2) temperature,198,0.12339930151338765,0.06625,0.06625,0.8983050847457628,0.0375,0.93375
IDV 15,Stiction,Cooling water outlet valve of separator,51,0.13625866050808313,0.07375,0.07375,0.8939393939393939,0.04375,0.92625
IDV 4,Step,Cooling water inlet temperature of reactor,108,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 5,Step,Cooling water inlet temperature of separator,108,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 7,Step,C header pressure loss (stream 4),33,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",90,0.995627732667083,0.99625,0.99625,0.9950062421972534,0.025,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",72,0.9899623588456713,0.98625,0.98625,0.9937027707808564,0.03125,0.01375
IDV 6,Step,A feed loss (stream 1),0,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 8,Random,A/B/C composition of stream 4,57,0.9874213836477987,0.98125,0.98125,0.9936708860759493,0.03125,0.01875
IDV 10,Random,C feed (stream 4) temperature,33,0.9256530475552579,0.86375,0.86375,0.9971139971139971,0.0125,0.13625
IDV 11,Random,Cooling water inlet temperature of reactor,138,0.8153053715967624,0.6925,0.6925,0.9910554561717353,0.03125,0.3075
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9931378665003119,0.995,0.995,0.9912826899128269,0.04375,0.005
IDV 13,Drift,Reaction kinetics,24,0.9718309859154929,0.94875,0.94875,0.9960629921259843,0.01875,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,330,0.9993753903810119,1.0,1.0,0.9987515605493134,0.00625,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,78,0.9420949902407286,0.905,0.905,0.9823609226594301,0.08125,0.095
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9525666016894087,0.91625,0.91625,0.9918809201623816,0.0375,0.08375
IDV 18,Random,(unknown); deviations of heat transfer within condenser,60,0.9448094612352169,0.89875,0.89875,0.9958448753462604,0.01875,0.10125
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",27,0.9294274300932092,0.8725,0.8725,0.9943019943019943,0.025,0.1275
IDV 20,Random,(unknown),9,0.8408104196816208,0.72625,0.72625,0.9982817869415808,0.00625,0.27375
IDV 21,Random,(unknown),42,0.63229078613694,0.4675,0.4675,0.9765013054830287,0.05625,0.5325
