Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,264,0.06513872135102533,0.03375,0.03375,0.9310344827586207,0.0125,0.96625
IDV 9,Random,D feed (stream 2) temperature,363,0.05054151624548736,0.02625,0.02625,0.6774193548387096,0.0625,0.97375
IDV 15,Stiction,Cooling water outlet valve of separator,1200,0.13953488372093023,0.075,0.075,1.0,0.0,0.925
IDV 4,Step,Cooling water inlet temperature of reactor,222,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 5,Step,Cooling water inlet temperature of separator,222,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 7,Step,C header pressure loss (stream 4),480,1.0,1.0,1.0,1.0,0.0,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",171,0.9974968710888611,0.99625,0.99625,0.9987468671679198,0.00625,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",246,0.9911949685534591,0.985,0.985,0.9974683544303797,0.0125,0.015
IDV 6,Step,A feed loss (stream 1),480,1.0,1.0,1.0,1.0,0.0,0.0
IDV 8,Random,A/B/C composition of stream 4,393,0.9886649874055415,0.98125,0.98125,0.9961928934010152,0.01875,0.01875
IDV 10,Random,C feed (stream 4) temperature,378,0.8828451882845187,0.79125,0.79125,0.998422712933754,0.00625,0.20875
IDV 11,Random,Cooling water inlet temperature of reactor,495,0.8795518207282913,0.785,0.785,1.0,0.0,0.215
IDV 12,Random,Cooling water inlet temperature of separator,486,0.9956057752667922,0.99125,0.99125,1.0,0.0,0.00875
IDV 13,Drift,Reaction kinetics,612,0.9717223650385605,0.945,0.945,1.0,0.0,0.055
IDV 14,Stiction,Cooling water outlet valve of reactor,480,1.0,1.0,1.0,1.0,0.0,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,255,0.8527777777777777,0.7675,0.7675,0.959375,0.1625,0.2325
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9717586649550706,0.94625,0.94625,0.9986807387862797,0.00625,0.05375
IDV 18,Random,(unknown); deviations of heat transfer within condenser,450,0.9474375821287779,0.90125,0.90125,0.9986149584487535,0.00625,0.09875
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",510,0.6266094420600858,0.45625,0.45625,1.0,0.0,0.54375
IDV 20,Random,(unknown),681,0.7538940809968847,0.605,0.605,1.0,0.0,0.395
IDV 21,Random,(unknown),351,0.6225279449699054,0.4525,0.4525,0.9972451790633609,0.00625,0.5475
