Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.10365135453474676,0.055,0.055,0.8979591836734694,0.03125,0.945
IDV 9,Random,D feed (stream 2) temperature,72,0.08736717827626918,0.04625,0.04625,0.7872340425531915,0.0625,0.95375
IDV 15,Stiction,Cooling water outlet valve of separator,51,0.14055299539170507,0.07625,0.07625,0.8970588235294118,0.04375,0.92375
IDV 4,Step,Cooling water inlet temperature of reactor,15,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,15,0.467680608365019,0.3075,0.3075,0.9761904761904762,0.0375,0.6925
IDV 7,Step,C header pressure loss (stream 4),15,0.9944064636420137,1.0,1.0,0.9888751545117429,0.05625,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",27,0.9943995021779715,0.99875,0.99875,0.990086741016109,0.05,0.00125
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",246,0.9692307692307691,0.945,0.945,0.9947368421052631,0.025,0.055
IDV 6,Step,A feed loss (stream 1),246,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 8,Random,A/B/C composition of stream 4,153,0.9560155239327296,0.92375,0.92375,0.9906166219839142,0.04375,0.07625
IDV 10,Random,C feed (stream 4) temperature,30,0.5506726457399103,0.38375,0.38375,0.9746031746031746,0.05,0.61625
IDV 11,Random,Cooling water inlet temperature of reactor,69,0.9007529089664613,0.8225,0.8225,0.9954614220877458,0.01875,0.1775
IDV 12,Random,Cooling water inlet temperature of separator,87,0.9633440514469455,0.93625,0.93625,0.9920529801324504,0.0375,0.06375
IDV 13,Drift,Reaction kinetics,132,0.9757653061224489,0.95625,0.95625,0.99609375,0.01875,0.04375
IDV 14,Stiction,Cooling water outlet valve of reactor,18,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 16,Random,Heat transfer deviation in stripper,54,0.5096952908587258,0.345,0.345,0.9752650176678446,0.04375,0.655
IDV 17,Random,Heat transfer deviation in reactor,21,0.975269499048827,0.96125,0.96125,0.9897039897039897,0.05,0.03875
IDV 18,Random,Heat transfer deviation in condenser,60,0.943864229765013,0.90375,0.90375,0.9877049180327869,0.05625,0.09625
IDV 19,Stiction,Recycle valve underflow (separator/stripper),138,0.32601880877742945,0.195,0.195,0.9936305732484076,0.00625,0.805
IDV 20,Random,(unknown),66,0.7016129032258064,0.54375,0.54375,0.9886363636363636,0.03125,0.45625
IDV 21,Random,(unknown),81,0.5602140945584301,0.3925,0.3925,0.9781931464174455,0.04375,0.6075
