Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.11228070175438597,0.06,0.06,0.8727272727272727,0.04375,0.94
IDV 9,Random,D feed (stream 2) temperature,30,0.09165687426556993,0.04875,0.04875,0.7647058823529411,0.075,0.95125
IDV 15,Stiction,Cooling water outlet valve of separator,294,0.17954545454545454,0.09875,0.09875,0.9875,0.00625,0.90125
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9944064636420137,1.0,1.0,0.9888751545117429,0.05625,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.5681415929203539,0.40125,0.40125,0.9727272727272728,0.05625,0.59875
IDV 7,Step,C header pressure loss (stream 4),15,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",156,0.9975031210986267,0.99875,0.99875,0.9962593516209476,0.01875,0.00125
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",90,0.9880877742946708,0.985,0.985,0.9911949685534591,0.04375,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 8,Random,A/B/C composition of stream 4,90,0.9886649874055415,0.98125,0.98125,0.9961928934010152,0.01875,0.01875
IDV 10,Random,C feed (stream 4) temperature,276,0.7139442231075698,0.56,0.56,0.9846153846153847,0.04375,0.44
IDV 11,Random,Cooling water inlet temperature of reactor,63,0.901639344262295,0.825,0.825,0.9939759036144579,0.025,0.175
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9893816364772017,0.99,0.99,0.9887640449438202,0.05625,0.01
IDV 13,Drift,Reaction kinetics,3,0.9718309859154929,0.94875,0.94875,0.9960629921259843,0.01875,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,129,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,180,0.604770017035775,0.44375,0.44375,0.9491978609625669,0.11875,0.55625
IDV 17,Random,(unknown); deviations of heat transfer within reactor,39,0.9739351557533376,0.9575,0.9575,0.9909443725743855,0.04375,0.0425
IDV 18,Random,(unknown); deviations of heat transfer within condenser,66,0.948264571054355,0.905,0.905,0.9958734525447043,0.01875,0.095
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",207,0.5013979496738118,0.33625,0.33625,0.9853479853479854,0.025,0.66375
IDV 20,Random,(unknown),18,0.7284243863816311,0.575,0.575,0.9935205183585313,0.01875,0.425
IDV 21,Random,(unknown),54,0.6244653550042771,0.45625,0.45625,0.989159891598916,0.025,0.54375
