Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,9,0.10550996483001172,0.05625,0.05625,0.8490566037735849,0.05,0.94375
IDV 9,Random,D feed (stream 2) temperature,0,0.08716136631330977,0.04625,0.04625,0.7551020408163265,0.075,0.95375
IDV 15,Stiction,Cooling water outlet valve of separator,6,0.14925373134328357,0.08125,0.08125,0.9154929577464789,0.0375,0.91875
IDV 4,Step,Cooling water inlet temperature of reactor,204,0.9956222639149468,0.995,0.995,0.9962453066332916,0.01875,0.005
IDV 5,Step,Cooling water inlet temperature of separator,204,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 7,Step,C header pressure loss (stream 4),192,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",9,0.9956222639149468,0.995,0.995,0.9962453066332916,0.01875,0.005
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",3,0.9893283113622098,0.985,0.985,0.9936948297604036,0.03125,0.015
IDV 6,Step,A feed loss (stream 1),6,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,9,0.9868173258003767,0.9825,0.9825,0.9911727616645649,0.04375,0.0175
IDV 10,Random,C feed (stream 4) temperature,3,0.8573456352022711,0.755,0.755,0.9917898193760263,0.03125,0.245
IDV 11,Random,Cooling water inlet temperature of reactor,0,0.8655876143560873,0.76875,0.76875,0.9903381642512077,0.0375,0.23125
IDV 12,Random,Cooling water inlet temperature of separator,3,0.9887780548628429,0.99125,0.99125,0.986318407960199,0.06875,0.00875
IDV 13,Drift,Reaction kinetics,0,0.9681122448979592,0.94875,0.94875,0.98828125,0.05625,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,9,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,9,0.831095406360424,0.735,0.735,0.9560975609756097,0.16875,0.265
IDV 17,Random,(unknown); deviations of heat transfer within reactor,111,0.9771283354510801,0.96125,0.96125,0.9935400516795866,0.03125,0.03875
IDV 18,Random,(unknown); deviations of heat transfer within condenser,3,0.9456450556647019,0.9025,0.9025,0.9931224209078404,0.03125,0.0975
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",21,0.4806786050895382,0.31875,0.31875,0.9770114942528736,0.0375,0.68125
IDV 20,Random,(unknown),0,0.74375,0.595,0.595,0.9916666666666667,0.025,0.405
IDV 21,Random,(unknown),3,0.6327396098388465,0.46625,0.46625,0.9841688654353562,0.0375,0.53375
