Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.20917822838847383,0.1225,0.1225,0.7153284671532847,0.24375,0.8775
IDV 9,Random,D feed (stream 2) temperature,132,0.21864951768488744,0.1275,0.1275,0.7669172932330827,0.19375,0.8725
IDV 15,Stiction,Cooling water outlet valve of separator,285,0.21357063403781978,0.12,0.12,0.9696969696969697,0.01875,0.88
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 7,Step,C header pressure loss (stream 4),204,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",156,0.995627732667083,0.99625,0.99625,0.9950062421972534,0.025,0.00375
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",90,0.9880877742946708,0.985,0.985,0.9911949685534591,0.04375,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,132,0.9830721003134796,0.98,0.98,0.9861635220125786,0.06875,0.02
IDV 10,Random,C feed (stream 4) temperature,276,0.8395953757225433,0.72625,0.72625,0.9948630136986302,0.01875,0.27375
IDV 11,Random,Cooling water inlet temperature of reactor,282,0.8982118294360385,0.81625,0.81625,0.9984709480122325,0.00625,0.18375
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9778051787916153,0.99125,0.99125,0.9647201946472019,0.18125,0.00875
IDV 13,Drift,Reaction kinetics,3,0.9718309859154929,0.94875,0.94875,0.9960629921259843,0.01875,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,129,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,165,0.7948717948717948,0.6975,0.6975,0.9238410596026491,0.2875,0.3025
IDV 17,Random,(unknown); deviations of heat transfer within reactor,183,0.966794380587484,0.94625,0.94625,0.9882506527415144,0.05625,0.05375
IDV 18,Random,(unknown); deviations of heat transfer within condenser,450,0.9604666234607906,0.92625,0.92625,0.9973082099596231,0.0125,0.07375
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",309,0.8778785764131193,0.78625,0.78625,0.9936808846761453,0.025,0.21375
IDV 20,Random,(unknown),18,0.8300510576221737,0.71125,0.71125,0.9964973730297724,0.0125,0.28875
IDV 21,Random,(unknown),120,0.6800643086816721,0.52875,0.52875,0.9527027027027027,0.13125,0.47125
