Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,342,0.06755126658624849,0.035,0.035,0.9655172413793104,0.00625,0.965
IDV 9,Random,D feed (stream 2) temperature,0,0.04600484261501211,0.02375,0.02375,0.7307692307692307,0.04375,0.97625
IDV 15,Stiction,Cooling water outlet valve of separator,15,0.0971563981042654,0.05125,0.05125,0.9318181818181818,0.01875,0.94875
IDV 4,Step,Cooling water inlet temperature of reactor,33,0.9956167814652473,0.99375,0.99375,0.9974905897114178,0.0125,0.00625
IDV 5,Step,Cooling water inlet temperature of separator,33,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 7,Step,C header pressure loss (stream 4),192,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",9,0.995,0.995,0.995,0.995,0.025,0.005
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",39,0.9905719673161534,0.985,0.985,0.9962073324905183,0.01875,0.015
IDV 6,Step,A feed loss (stream 1),6,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,456,0.9899244332493703,0.9825,0.9825,0.9974619289340102,0.0125,0.0175
IDV 10,Random,C feed (stream 4) temperature,3,0.8088888888888888,0.6825,0.6825,0.9927272727272727,0.025,0.3175
IDV 11,Random,Cooling water inlet temperature of reactor,0,0.84043321299639,0.7275,0.7275,0.9948717948717949,0.01875,0.2725
IDV 12,Random,Cooling water inlet temperature of separator,228,0.9943573667711598,0.99125,0.99125,0.9974842767295597,0.0125,0.00875
IDV 13,Drift,Reaction kinetics,21,0.9705882352941176,0.94875,0.94875,0.993455497382199,0.03125,0.05125
IDV 14,Stiction,Cooling water outlet valve of reactor,9,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,9,0.771641791044776,0.64625,0.64625,0.9574074074074074,0.14375,0.35375
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9737347853939782,0.95,0.95,0.9986859395532195,0.00625,0.05
IDV 18,Random,(unknown); deviations of heat transfer within condenser,105,0.9461235216819974,0.9,0.9,0.997229916897507,0.0125,0.1
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",21,0.5938864628820961,0.425,0.425,0.9855072463768116,0.03125,0.575
IDV 20,Random,(unknown),0,0.7162270183852919,0.56,0.56,0.9933481152993349,0.01875,0.44
IDV 21,Random,(unknown),3,0.6214592274678112,0.4525,0.4525,0.9917808219178083,0.01875,0.5475
