Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.12514484356894554,0.0675,0.0675,0.8571428571428571,0.05625,0.9325
IDV 9,Random,D feed (stream 2) temperature,66,0.14432989690721648,0.07875,0.07875,0.863013698630137,0.0625,0.92125
IDV 15,Stiction,Cooling water outlet valve of separator,51,0.1548974943052392,0.085,0.085,0.8717948717948718,0.0625,0.915
IDV 4,Step,Cooling water inlet temperature of reactor,12,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,12,0.4657794676806084,0.30625,0.30625,0.9722222222222222,0.04375,0.69375
IDV 7,Step,C header pressure loss (stream 4),63,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",27,0.9931719428926133,1.0,1.0,0.9864364981504316,0.06875,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",30,0.9868667917448405,0.98625,0.98625,0.9874843554443054,0.0625,0.01375
IDV 6,Step,A feed loss (stream 1),72,0.9937888198757764,1.0,1.0,0.9876543209876543,0.0625,0.0
IDV 8,Random,A/B/C composition of stream 4,102,0.9626769626769627,0.935,0.935,0.9920424403183024,0.0375,0.065
IDV 10,Random,C feed (stream 4) temperature,30,0.5972222222222222,0.43,0.43,0.9772727272727273,0.05,0.57
IDV 11,Random,Cooling water inlet temperature of reactor,54,0.8905608755129959,0.81375,0.81375,0.9833836858006042,0.06875,0.18625
IDV 12,Random,Cooling water inlet temperature of separator,12,0.9660038486209108,0.94125,0.94125,0.9920948616600791,0.0375,0.05875
IDV 13,Drift,Reaction kinetics,48,0.9713558243157225,0.95375,0.95375,0.9896238651102465,0.05,0.04625
IDV 14,Stiction,Cooling water outlet valve of reactor,39,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 16,Random,Heat transfer deviation in stripper,54,0.5779334500875657,0.4125,0.4125,0.9649122807017544,0.075,0.5875
IDV 17,Random,Heat transfer deviation in reactor,3,0.9772727272727273,0.9675,0.9675,0.9872448979591837,0.0625,0.0325
IDV 18,Random,Heat transfer deviation in condenser,75,0.9466145833333333,0.90875,0.90875,0.9877717391304348,0.05625,0.09125
IDV 19,Stiction,Recycle valve underflow (separator/stripper),63,0.41420118343195267,0.2625,0.2625,0.9813084112149533,0.025,0.7375
IDV 20,Random,(unknown),135,0.749613601236476,0.60625,0.60625,0.9817813765182186,0.05625,0.39375
IDV 21,Random,(unknown),51,0.6950925181013677,0.54,0.54,0.9751693002257337,0.06875,0.46
