Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.08104886769964244,0.0425,0.0425,0.8717948717948718,0.03125,0.9575
IDV 9,Random,D feed (stream 2) temperature,132,0.07407407407407408,0.03875,0.03875,0.8378378378378378,0.0375,0.96125
IDV 15,Stiction,Cooling water outlet valve of separator,294,0.16914285714285715,0.0925,0.0925,0.9866666666666667,0.00625,0.9075
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.5472547254725473,0.38,0.38,0.977491961414791,0.04375,0.62
IDV 7,Step,C header pressure loss (stream 4),15,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",156,0.9975031210986267,0.99875,0.99875,0.9962593516209476,0.01875,0.00125
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",90,0.9880877742946708,0.985,0.985,0.9911949685534591,0.04375,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 8,Random,A/B/C composition of stream 4,90,0.9886506935687264,0.98,0.98,0.9974554707379135,0.0125,0.02
IDV 10,Random,C feed (stream 4) temperature,276,0.6867862969004894,0.52625,0.52625,0.9882629107981221,0.03125,0.47375
IDV 11,Random,Cooling water inlet temperature of reactor,63,0.8992460589444824,0.82,0.82,0.9954476479514416,0.01875,0.18
IDV 12,Random,Cooling water inlet temperature of separator,156,0.9906073888541015,0.98875,0.98875,0.9924717691342535,0.0375,0.01125
IDV 13,Drift,Reaction kinetics,45,0.9711353431686979,0.94625,0.94625,0.997364953886693,0.0125,0.05375
IDV 14,Stiction,Cooling water outlet valve of reactor,165,0.9993753903810119,1.0,1.0,0.9987515605493134,0.00625,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,180,0.5701676963812886,0.40375,0.40375,0.96996996996997,0.0625,0.59625
IDV 17,Random,(unknown); deviations of heat transfer within reactor,117,0.9699680511182109,0.94875,0.94875,0.9921568627450981,0.0375,0.05125
IDV 18,Random,(unknown); deviations of heat transfer within condenser,279,0.94750656167979,0.9025,0.9025,0.9972375690607734,0.0125,0.0975
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",207,0.44724104549854793,0.28875,0.28875,0.9914163090128756,0.0125,0.71125
IDV 20,Random,(unknown),18,0.7131410256410257,0.55625,0.55625,0.9933035714285714,0.01875,0.44375
IDV 21,Random,(unknown),351,0.6136560069144338,0.44375,0.44375,0.9943977591036415,0.0125,0.55625
