Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,132,0.10600706713780919,0.05625,0.05625,0.9183673469387755,0.025,0.94375
IDV 9,Random,D feed (stream 2) temperature,0,0.08747044917257682,0.04625,0.04625,0.8043478260869565,0.05625,0.95375
IDV 15,Stiction,Cooling water outlet valve of separator,15,0.12177985948477751,0.065,0.065,0.9629629629629629,0.0125,0.935
IDV 4,Step,Cooling water inlet temperature of reactor,204,0.9950062421972534,0.99625,0.99625,0.9937655860349127,0.03125,0.00375
IDV 5,Step,Cooling water inlet temperature of separator,204,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 7,Step,C header pressure loss (stream 4),237,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",246,0.9968691296180339,0.995,0.995,0.998745294855709,0.00625,0.005
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",273,0.9886649874055415,0.98125,0.98125,0.9961928934010152,0.01875,0.01875
IDV 6,Step,A feed loss (stream 1),6,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,39,0.9880578252671276,0.9825,0.9825,0.9936788874841972,0.03125,0.0175
IDV 10,Random,C feed (stream 4) temperature,3,0.8109710896960712,0.68375,0.68375,0.9963570127504554,0.0125,0.31625
IDV 11,Random,Cooling water inlet temperature of reactor,0,0.8597733711048159,0.75875,0.75875,0.9918300653594772,0.03125,0.24125
IDV 12,Random,Cooling water inlet temperature of separator,228,0.99125,0.99125,0.99125,0.99125,0.04375,0.00875
IDV 13,Drift,Reaction kinetics,153,0.9725239616613419,0.95125,0.95125,0.9947712418300654,0.025,0.04875
IDV 14,Stiction,Cooling water outlet valve of reactor,9,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,9,0.7555886736214606,0.63375,0.63375,0.9354243542435424,0.21875,0.36625
IDV 17,Random,(unknown); deviations of heat transfer within reactor,111,0.9765079365079365,0.96125,0.96125,0.9922580645161291,0.0375,0.03875
IDV 18,Random,(unknown); deviations of heat transfer within condenser,12,0.9448818897637795,0.9,0.9,0.994475138121547,0.025,0.1
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",21,0.6836065573770491,0.52125,0.52125,0.9928571428571429,0.01875,0.47875
IDV 20,Random,(unknown),0,0.7458952306489445,0.59625,0.59625,0.9958246346555324,0.0125,0.40375
IDV 21,Random,(unknown),3,0.6561199000832639,0.4925,0.4925,0.9825436408977556,0.04375,0.5075
