Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,198,0.10823529411764705,0.0575,0.0575,0.92,0.025,0.9425
IDV 9,Random,D feed (stream 2) temperature,111,0.09836065573770492,0.0525,0.0525,0.7777777777777778,0.075,0.9475
IDV 15,Stiction,Cooling water outlet valve of separator,42,0.1698754246885617,0.09375,0.09375,0.9036144578313253,0.05,0.90625
IDV 4,Step,Cooling water inlet temperature of reactor,108,0.9975031210986267,0.99875,0.99875,0.9962593516209476,0.01875,0.00125
IDV 5,Step,Cooling water inlet temperature of separator,108,0.9981285090455396,1.0,1.0,0.9962640099626401,0.01875,0.0
IDV 7,Step,C header pressure loss (stream 4),33,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",147,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",60,0.9899497487437187,0.985,0.985,0.9949494949494949,0.025,0.015
IDV 6,Step,A feed loss (stream 1),66,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,57,0.9874371859296482,0.9825,0.9825,0.9924242424242424,0.0375,0.0175
IDV 10,Random,C feed (stream 4) temperature,282,0.9147496617050067,0.845,0.845,0.9970501474926253,0.0125,0.155
IDV 11,Random,Cooling water inlet temperature of reactor,153,0.8712174524982406,0.77375,0.77375,0.9967793880837359,0.0125,0.22625
IDV 12,Random,Cooling water inlet temperature of separator,228,0.9943785134291068,0.995,0.995,0.9937578027465668,0.03125,0.005
IDV 13,Drift,Reaction kinetics,114,0.9738353541799618,0.95375,0.95375,0.9947848761408083,0.025,0.04625
IDV 14,Stiction,Cooling water outlet valve of reactor,45,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,78,0.9227696404793608,0.86625,0.86625,0.9871794871794872,0.05625,0.13375
IDV 17,Random,(unknown); deviations of heat transfer within reactor,51,0.9759493670886076,0.96375,0.96375,0.9884615384615385,0.05625,0.03625
IDV 18,Random,(unknown); deviations of heat transfer within condenser,72,0.9448818897637795,0.9,0.9,0.994475138121547,0.025,0.1
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",138,0.9184086311530681,0.85125,0.85125,0.9970717423133236,0.0125,0.14875
IDV 20,Random,(unknown),390,0.8474820143884891,0.73625,0.73625,0.9983050847457627,0.00625,0.26375
IDV 21,Random,(unknown),36,0.6151231945624469,0.4525,0.4525,0.9602122015915119,0.09375,0.5475
