Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.08962264150943397,0.0475,0.0475,0.7916666666666666,0.0625,0.9525
IDV 9,Random,D feed (stream 2) temperature,198,0.0831353919239905,0.04375,0.04375,0.8333333333333334,0.04375,0.95625
IDV 15,Stiction,Cooling water outlet valve of separator,177,0.17253121452894438,0.095,0.095,0.9382716049382716,0.03125,0.905
IDV 4,Step,Cooling water inlet temperature of reactor,162,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 5,Step,Cooling water inlet temperature of separator,162,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 7,Step,C header pressure loss (stream 4),33,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",111,0.9962546816479401,0.9975,0.9975,0.9950124688279302,0.025,0.0025
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",72,0.9911949685534591,0.985,0.985,0.9974683544303797,0.0125,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 8,Random,A/B/C composition of stream 4,162,0.9893014474512272,0.9825,0.9825,0.9961977186311787,0.01875,0.0175
IDV 10,Random,C feed (stream 4) temperature,51,0.9313790806129247,0.87375,0.87375,0.9971469329529244,0.0125,0.12625
IDV 11,Random,Cooling water inlet temperature of reactor,297,0.8029850746268656,0.6725,0.6725,0.9962962962962963,0.0125,0.3275
IDV 12,Random,Cooling water inlet temperature of separator,450,0.9943785134291068,0.995,0.995,0.9937578027465668,0.03125,0.005
IDV 13,Drift,Reaction kinetics,249,0.9704749679075737,0.945,0.945,0.9973614775725593,0.0125,0.055
IDV 14,Stiction,Cooling water outlet valve of reactor,303,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,78,0.9402495075508864,0.895,0.895,0.9903181189488244,0.04375,0.105
IDV 17,Random,(unknown); deviations of heat transfer within reactor,192,0.9539857420609201,0.92,0.92,0.990578734858681,0.04375,0.08
IDV 18,Random,(unknown); deviations of heat transfer within condenser,117,0.9461942257217847,0.90125,0.90125,0.9958563535911602,0.01875,0.09875
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",411,0.9226630800268998,0.8575,0.8575,0.9985443959243085,0.00625,0.1425
IDV 20,Random,(unknown),495,0.8472622478386168,0.735,0.735,1.0,0.0,0.265
IDV 21,Random,(unknown),111,0.6936790923824959,0.535,0.535,0.9861751152073732,0.0375,0.465
