Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.12775842044134728,0.06875,0.06875,0.9016393442622951,0.0375,0.93125
IDV 9,Random,D feed (stream 2) temperature,45,0.135632183908046,0.07375,0.07375,0.8428571428571429,0.06875,0.92625
IDV 15,Stiction,Cooling water outlet valve of separator,36,0.19153674832962136,0.1075,0.1075,0.8775510204081632,0.075,0.8925
IDV 4,Step,Cooling water inlet temperature of reactor,168,0.9944064636420137,1.0,1.0,0.9888751545117429,0.05625,0.0
IDV 5,Step,Cooling water inlet temperature of separator,168,0.4821763602251407,0.32125,0.32125,0.9661654135338346,0.05625,0.67875
IDV 7,Step,C header pressure loss (stream 4),9,0.9937888198757764,1.0,1.0,0.9876543209876543,0.0625,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",102,0.9931719428926133,1.0,1.0,0.9864364981504316,0.06875,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",54,0.9887359198998749,0.9875,0.9875,0.9899749373433584,0.05,0.0125
IDV 6,Step,A feed loss (stream 1),72,0.9937888198757764,1.0,1.0,0.9876543209876543,0.0625,0.0
IDV 8,Random,A/B/C composition of stream 4,153,0.9712460063897763,0.95,0.95,0.9934640522875817,0.03125,0.05
IDV 10,Random,C feed (stream 4) temperature,30,0.5915004336513444,0.42625,0.42625,0.9660056657223796,0.075,0.57375
IDV 11,Random,Cooling water inlet temperature of reactor,69,0.8972089857045608,0.82375,0.82375,0.9850523168908819,0.0625,0.17625
IDV 12,Random,Cooling water inlet temperature of separator,150,0.9725590299936184,0.9525,0.9525,0.9934810951760105,0.03125,0.0475
IDV 13,Drift,Reaction kinetics,69,0.9719745222929936,0.95375,0.95375,0.990909090909091,0.04375,0.04625
IDV 14,Stiction,Cooling water outlet valve of reactor,387,0.9987515605493134,1.0,1.0,0.9975062344139651,0.0125,0.0
IDV 16,Random,Heat transfer deviation in stripper,54,0.5656028368794326,0.39875,0.39875,0.9725609756097561,0.05625,0.60125
IDV 17,Random,Heat transfer deviation in reactor,21,0.97084917617237,0.9575,0.9575,0.9845758354755784,0.075,0.0425
IDV 18,Random,Heat transfer deviation in condenser,60,0.9441558441558441,0.90875,0.90875,0.9824324324324324,0.08125,0.09125
IDV 19,Stiction,Recycle valve underflow (separator/stripper),54,0.44228903976721623,0.285,0.285,0.987012987012987,0.01875,0.715
IDV 20,Random,(unknown),30,0.7519379844961241,0.60625,0.60625,0.9897959183673469,0.03125,0.39375
IDV 21,Random,(unknown),138,0.6988727858293075,0.5425,0.5425,0.9819004524886877,0.05,0.4575
