Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.14236509758897817,0.0775,0.0775,0.8732394366197183,0.05625,0.9225
IDV 9,Random,D feed (stream 2) temperature,45,0.13318025258323765,0.0725,0.0725,0.8169014084507042,0.08125,0.9275
IDV 15,Stiction,Cooling water outlet valve of separator,123,0.16968325791855204,0.09375,0.09375,0.8928571428571429,0.05625,0.90625
IDV 4,Step,Cooling water inlet temperature of reactor,12,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,12,0.4730368968779564,0.3125,0.3125,0.9727626459143969,0.04375,0.6875
IDV 7,Step,C header pressure loss (stream 4),36,0.9950248756218906,1.0,1.0,0.9900990099009901,0.05,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",24,0.9931719428926133,1.0,1.0,0.9864364981504316,0.06875,0.0
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",78,0.9804169298799748,0.97,0.97,0.9910600255427842,0.04375,0.03
IDV 6,Step,A feed loss (stream 1),72,0.9944064636420137,1.0,1.0,0.9888751545117429,0.05625,0.0
IDV 8,Random,A/B/C composition of stream 4,81,0.9472999349381912,0.91,0.91,0.9877883310719131,0.05625,0.09
IDV 10,Random,C feed (stream 4) temperature,30,0.6208651399491094,0.4575,0.4575,0.9656992084432717,0.08125,0.5425
IDV 11,Random,Cooling water inlet temperature of reactor,69,0.9105581708137189,0.84625,0.84625,0.9854439592430859,0.0625,0.15375
IDV 12,Random,Cooling water inlet temperature of separator,12,0.9633911368015414,0.9375,0.9375,0.9907529722589168,0.04375,0.0625
IDV 13,Drift,Reaction kinetics,42,0.9688888888888888,0.95375,0.95375,0.984516129032258,0.075,0.04625
IDV 14,Stiction,Cooling water outlet valve of reactor,45,0.9950248756218906,1.0,1.0,0.9900990099009901,0.05,0.0
IDV 16,Random,Heat transfer deviation in stripper,54,0.602928509905254,0.4375,0.4375,0.9695290858725761,0.06875,0.5625
IDV 17,Random,Heat transfer deviation in reactor,3,0.9766266582438408,0.96625,0.96625,0.9872286079182631,0.0625,0.03375
IDV 18,Random,Heat transfer deviation in condenser,51,0.9468223086900129,0.9125,0.9125,0.9838274932614556,0.075,0.0875
IDV 19,Stiction,Recycle valve underflow (separator/stripper),63,0.43452958292919497,0.28,0.28,0.9696969696969697,0.04375,0.72
IDV 20,Random,(unknown),66,0.7447633824670287,0.6,0.6,0.9815950920245399,0.05625,0.4
IDV 21,Random,(unknown),9,0.7064439140811456,0.555,0.555,0.9715536105032823,0.08125,0.445
