Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,63,0.11007025761124122,0.05875,0.05875,0.8703703703703703,0.04375,0.94125
IDV 9,Random,D feed (stream 2) temperature,66,0.1330275229357798,0.0725,0.0725,0.8055555555555556,0.0875,0.9275
IDV 15,Stiction,Cooling water outlet valve of separator,129,0.12962962962962962,0.07,0.07,0.875,0.05,0.93
IDV 4,Step,Cooling water inlet temperature of reactor,15,0.9937888198757764,1.0,1.0,0.9876543209876543,0.0625,0.0
IDV 5,Step,Cooling water inlet temperature of separator,15,0.4438040345821326,0.28875,0.28875,0.9585062240663901,0.0625,0.71125
IDV 7,Step,C header pressure loss (stream 4),15,0.9956440572495334,1.0,1.0,0.9913258983890955,0.04375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",27,0.9943995021779715,0.99875,0.99875,0.990086741016109,0.05,0.00125
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",246,0.9848293299620733,0.97375,0.97375,0.9961636828644501,0.01875,0.02625
IDV 6,Step,A feed loss (stream 1),153,0.9975062344139651,1.0,1.0,0.9950248756218906,0.025,0.0
IDV 8,Random,A/B/C composition of stream 4,132,0.958656330749354,0.9275,0.9275,0.9919786096256684,0.0375,0.0725
IDV 10,Random,C feed (stream 4) temperature,30,0.5607142857142857,0.3925,0.3925,0.98125,0.0375,0.6075
IDV 11,Random,Cooling water inlet temperature of reactor,54,0.8652081863091038,0.76625,0.76625,0.993517017828201,0.025,0.23375
IDV 12,Random,Cooling water inlet temperature of separator,150,0.9599483204134367,0.92875,0.92875,0.9933155080213903,0.03125,0.07125
IDV 13,Drift,Reaction kinetics,48,0.9720457433290979,0.95625,0.95625,0.9883720930232558,0.05625,0.04375
IDV 14,Stiction,Cooling water outlet valve of reactor,45,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 16,Random,Heat transfer deviation in stripper,54,0.5328532853285329,0.37,0.37,0.9517684887459807,0.09375,0.63
IDV 17,Random,Heat transfer deviation in reactor,210,0.9771283354510801,0.96125,0.96125,0.9935400516795866,0.03125,0.03875
IDV 18,Random,Heat transfer deviation in condenser,9,0.9466145833333333,0.90875,0.90875,0.9877717391304348,0.05625,0.09125
IDV 19,Stiction,Recycle valve underflow (separator/stripper),135,0.42115572967678744,0.26875,0.26875,0.9728506787330317,0.0375,0.73125
IDV 20,Random,(unknown),144,0.7359375000000001,0.58875,0.58875,0.98125,0.05625,0.41125
IDV 21,Random,(unknown),138,0.662262592898431,0.50125,0.50125,0.975669099756691,0.0625,0.49875
