Fault,Type,Disturbed Value,Detection Time,F1,FDR,Recall,Precision,FPR,FNR
IDV 3,Step,D feed (stream 2) temperature,66,0.1073512252042007,0.0575,0.0575,0.8070175438596491,0.06875,0.9425
IDV 9,Random,D feed (stream 2) temperature,30,0.07600950118764846,0.04,0.04,0.7619047619047619,0.0625,0.96
IDV 15,Stiction,Cooling water outlet valve of separator,294,0.1584385763490241,0.08625,0.08625,0.971830985915493,0.0125,0.91375
IDV 4,Step,Cooling water inlet temperature of reactor,6,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 5,Step,Cooling water inlet temperature of separator,6,0.5683836589698046,0.4,0.4,0.9815950920245399,0.0375,0.6
IDV 7,Step,C header pressure loss (stream 4),15,0.9962640099626401,1.0,1.0,0.9925558312655087,0.0375,0.0
IDV 1,Step,"A/C-ratio of stream 4, B composition constant",63,0.9962546816479401,0.9975,0.9975,0.9950124688279302,0.025,0.0025
IDV 2,Step,"B composition of stream 4, A/C-ratio constant",90,0.9874686716791979,0.985,0.985,0.9899497487437185,0.05,0.015
IDV 6,Step,A feed loss (stream 1),0,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 8,Random,A/B/C composition of stream 4,90,0.9892879647132954,0.98125,0.98125,0.9974587039390089,0.0125,0.01875
IDV 10,Random,C feed (stream 4) temperature,276,0.7235387045813586,0.5725,0.5725,0.9828326180257511,0.05,0.4275
IDV 11,Random,Cooling water inlet temperature of reactor,63,0.9083503054989817,0.83625,0.83625,0.9940564635958395,0.025,0.16375
IDV 12,Random,Cooling water inlet temperature of separator,78,0.9906191369606003,0.99,0.99,0.9912390488110138,0.04375,0.01
IDV 13,Drift,Reaction kinetics,3,0.9698910954516335,0.94625,0.94625,0.9947437582128777,0.025,0.05375
IDV 14,Stiction,Cooling water outlet valve of reactor,153,0.9968847352024921,1.0,1.0,0.9937888198757764,0.03125,0.0
IDV 16,Random,(unknown); deviations of heat transfer within stripper,180,0.6301600673967988,0.4675,0.4675,0.9664082687338501,0.08125,0.5325
IDV 17,Random,(unknown); deviations of heat transfer within reactor,39,0.9745870393900888,0.95875,0.95875,0.9909560723514211,0.04375,0.04125
IDV 18,Random,(unknown); deviations of heat transfer within condenser,279,0.9488859764089123,0.905,0.905,0.9972451790633609,0.0125,0.095
IDV 19,Stiction,"(unknown); recycle valve, underflow separator/stripper",207,0.49671977507029047,0.33125,0.33125,0.9925093632958801,0.0125,0.66875
IDV 20,Random,(unknown),18,0.7334384858044165,0.58125,0.58125,0.9935897435897436,0.01875,0.41875
IDV 21,Random,(unknown),42,0.634974533106961,0.4675,0.4675,0.9894179894179894,0.025,0.5325
